Date,Team 1,FT,Team 2
Sat Nov 21 1953,Tottenham Hotspur,1-0,Huddersfield Town
Sat Nov 21 1953,Burnley,3-2,Aston Villa
Sat Nov 21 1953,Liverpool,1-2,Arsenal
Sat Nov 21 1953,Bolton Wanderers,2-2,Chelsea
Sat Nov 21 1953,Manchester United,4-1,Blackpool
Sat Nov 21 1953,Preston North End,2-1,Sheffield United
Sat Nov 21 1953,Middlesbrough,0-1,Manchester City
Sat Nov 21 1953,West Bromwich Albion,6-1,Cardiff City
Sat Nov 28 1953,Wolverhampton Wanderers,4-1,Sheffield Wednesday
Sat Nov 28 1953,Arsenal,2-1,Newcastle United
Sat Nov 28 1953,Aston Villa,2-1,Charlton Athletic
Sat Nov 28 1953,Blackpool,0-0,Bolton Wanderers
Sat Nov 28 1953,Cardiff City,3-1,Liverpool
Sat Nov 28 1953,Portsmouth,1-1,Manchester United
Sat Nov 28 1953,Huddersfield Town,3-1,Burnley
Sat Nov 28 1953,Chelsea,1-0,Preston North End
Sat Nov 28 1953,Manchester City,2-3,West Bromwich Albion
Sat Nov 28 1953,Sunderland,0-2,Middlesbrough
Sat Nov 28 1953,Sheffield United,5-2,Tottenham Hotspur
Sat Dec 5 1953,Middlesbrough,2-0,Arsenal
Sat Dec 5 1953,Manchester United,2-2,Sheffield United
Sat Dec 5 1953,Liverpool,5-2,Blackpool
Sat Dec 5 1953,Burnley,5-1,Sunderland
Sat Dec 5 1953,Tottenham Hotspur,2-3,Wolverhampton Wanderers
Sat Dec 5 1953,Bolton Wanderers,0-0,Huddersfield Town
Sat Dec 5 1953,West Bromwich Albion,2-3,Portsmouth
Sat Dec 5 1953,Newcastle United,1-1,Chelsea
Sat Dec 5 1953,Sheffield Wednesday,2-1,Cardiff City
Sat Dec 5 1953,Preston North End,1-1,Aston Villa
Sat Dec 5 1953,Charlton Athletic,2-1,Manchester City
Sat Dec 12 1953,Arsenal,2-2,West Bromwich Albion
Sat Dec 12 1953,Chelsea,3-1,Manchester United
Sat Dec 12 1953,Manchester City,3-2,Sheffield Wednesday
Sat Dec 12 1953,Sunderland,2-1,Charlton Athletic
Sat Dec 12 1953,Cardiff City,1-0,Middlesbrough
Sat Dec 12 1953,Wolverhampton Wanderers,1-2,Burnley
Sat Dec 12 1953,Blackpool,1-3,Newcastle United
Sat Dec 12 1953,Huddersfield Town,2-2,Preston North End
Sat Dec 12 1953,Aston Villa,1-2,Tottenham Hotspur
Sat Dec 12 1953,Portsmouth,5-1,Liverpool
Sat Dec 12 1953,Sheffield United,3-0,Bolton Wanderers
Sat Dec 19 1953,Burnley,2-0,Charlton Athletic
Sat Dec 19 1953,Chelsea,5-1,Blackpool
Sat Dec 19 1953,Sheffield United,3-1,Portsmouth
Sat Dec 19 1953,Wolverhampton Wanderers,3-1,Manchester City
Sat Dec 19 1953,Manchester United,5-1,Liverpool
Sat Dec 19 1953,Huddersfield Town,2-2,Arsenal
Sat Dec 19 1953,Aston Villa,1-2,Cardiff City
Sat Dec 19 1953,Sunderland,1-1,Newcastle United
Sat Dec 19 1953,Preston North End,1-0,Middlesbrough
Sat Dec 19 1953,Tottenham Hotspur,3-1,Sheffield Wednesday
Sat Dec 19 1953,Bolton Wanderers,2-1,West Bromwich Albion
Thu Dec 24 1953,Wolverhampton Wanderers,1-2,Aston Villa
Fri Dec 25 1953,Tottenham Hotspur,1-1,Portsmouth
Fri Dec 25 1953,Sheffield United,2-2,Manchester City
Fri Dec 25 1953,Sunderland,1-1,Huddersfield Town
Fri Dec 25 1953,Middlesbrough,2-3,Newcastle United
Fri Dec 25 1953,West Bromwich Albion,5-2,Liverpool
Fri Dec 25 1953,Manchester United,5-2,Sheffield Wednesday
Fri Dec 25 1953,Charlton Athletic,1-0,Bolton Wanderers
Fri Dec 25 1953,Burnley,2-1,Preston North End
Sat Dec 26 1953,Huddersfield Town,2-1,Sunderland
Sat Dec 26 1953,Bolton Wanderers,3-1,Charlton Athletic
Sat Dec 26 1953,Liverpool,0-0,West Bromwich Albion
Sat Dec 26 1953,Blackpool,2-2,Arsenal
Sat Dec 26 1953,Portsmouth,1-1,Tottenham Hotspur
Sat Dec 26 1953,Newcastle United,2-3,Middlesbrough
Sat Dec 26 1953,Preston North End,2-1,Burnley
